apartado,factor,a,b,diferencia,ic_bajo,ic_alto,ganadas,n,separado
A5.5,selector,sam21 M0 x P4 x solo ranking,sam21 M0 x P4 x S0,-0.0093,-0.0782,0.0587,2,17,False
A5.5,selector,sam21 M1 x P1 x S1,sam21 M1 x P1 x S0,0.031,-0.004,0.067,10,17,False
A5.5,selector,sam21 M1 x P1 x solo puerta,sam21 M1 x P1 x S0,0.0006,-0.0085,0.0093,6,17,False
A5.5,selector,sam21 M1 x P1 x solo ranking,sam21 M1 x P1 x S0,0.0413,-0.0027,0.089,9,17,False
A5.5,selector,sam21 M1 x P2 x S1,sam21 M1 x P2 x S0,0.0662,0.037,0.0976,15,17,True
A5.5,selector,sam21 M1 x P2 x solo puerta,sam21 M1 x P2 x S0,0.0546,0.0264,0.084,12,17,True
A5.5,selector,sam21 M1 x P2 x solo ranking,sam21 M1 x P2 x S0,0.037,0.0066,0.0704,14,17,True
A5.5,selector,sam21 M1 x P3 x S1,sam21 M1 x P3 x S0,0.0994,0.0367,0.1644,13,17,True
A5.5,selector,sam21 M1 x P3 x solo puerta,sam21 M1 x P3 x S0,-0.0137,-0.0316,-0.0027,0,17,True
A5.5,selector,sam21 M1 x P3 x solo ranking,sam21 M1 x P3 x S0,0.1481,0.0821,0.2195,14,17,True
A5.5,selector,sam21 M1 x P4 x S1,sam21 M1 x P4 x S0,0.148,0.0998,0.1955,17,17,True
A5.5,selector,sam21 M1 x P4 x solo puerta,sam21 M1 x P4 x S0,0.1001,0.0641,0.1385,16,17,True
A5.5,selector,sam21 M1 x P4 x solo ranking,sam21 M1 x P4 x S0,0.1113,0.0529,0.1711,15,17,True
A5.5,selector,tinysam M0 x P1 x S1,tinysam M0 x P1 x S0,-0.0292,-0.0862,0.0271,6,17,False
A5.5,selector,tinysam M0 x P1 x solo puerta,tinysam M0 x P1 x S0,0.0,0.0,0.0,0,17,False
A5.5,selector,tinysam M0 x P1 x solo ranking,tinysam M0 x P1 x S0,-0.0292,-0.0862,0.0271,6,17,False
A5.5,selector,tinysam M0 x P2 x S1,tinysam M0 x P2 x S0,0.011,-0.0696,0.0962,6,17,False
A5.5,selector,tinysam M0 x P2 x solo puerta,tinysam M0 x P2 x S0,0.0396,-0.0176,0.1089,4,17,False
A5.5,selector,tinysam M0 x P2 x solo ranking,tinysam M0 x P2 x S0,-0.0307,-0.0838,0.0193,4,17,False
A5.5,selector,tinysam M0 x P3 x S1,tinysam M0 x P3 x S0,0.0189,-0.0546,0.111,8,17,False
A5.5,selector,tinysam M0 x P3 x solo puerta,tinysam M0 x P3 x S0,0.0,0.0,0.0,0,17,False
A5.5,selector,tinysam M0 x P3 x solo ranking,tinysam M0 x P3 x S0,0.0189,-0.0546,0.111,8,17,False
A5.5,selector,tinysam M0 x P4 x S1,tinysam M0 x P4 x S0,0.0493,-0.0455,0.1621,6,17,False
A5.5,selector,tinysam M0 x P4 x solo puerta,tinysam M0 x P4 x S0,0.0865,0.0104,0.1864,4,17,True
A5.5,selector,tinysam M0 x P4 x solo ranking,tinysam M0 x P4 x S0,0.0245,-0.0745,0.1442,6,17,False
A5.5,selector,tinysam M1 x P1 x S1,tinysam M1 x P1 x S0,0.0214,-0.0155,0.06,8,17,False
A5.5,selector,tinysam M1 x P1 x solo puerta,tinysam M1 x P1 x S0,-0.0076,-0.0259,0.0052,2,17,False
A5.5,selector,tinysam M1 x P1 x solo ranking,tinysam M1 x P1 x S0,0.0357,0.0001,0.0746,11,17,True
A5.5,selector,tinysam M1 x P2 x S1,tinysam M1 x P2 x S0,0.0324,-0.0102,0.0825,12,17,False
A5.5,selector,tinysam M1 x P2 x solo puerta,tinysam M1 x P2 x S0,0.0091,-0.0135,0.0292,10,17,False
A5.5,selector,tinysam M1 x P2 x solo ranking,tinysam M1 x P2 x S0,0.0217,-0.0196,0.07,11,17,False
A5.5,selector,tinysam M1 x P3 x S1,tinysam M1 x P3 x S0,0.0654,0.0156,0.1153,10,17,True
A5.5,selector,tinysam M1 x P3 x solo puerta,tinysam M1 x P3 x S0,-0.009,-0.0222,0.0,0,17,False
A5.5,selector,tinysam M1 x P3 x solo ranking,tinysam M1 x P3 x S0,0.0802,0.0275,0.1327,12,17,True
A5.5,selector,tinysam M1 x P4 x S1,tinysam M1 x P4 x S0,0.0673,0.0233,0.1079,15,17,True
A5.5,selector,tinysam M1 x P4 x solo puerta,tinysam M1 x P4 x S0,0.0591,0.0342,0.0884,14,17,True
A5.5,selector,tinysam M1 x P4 x solo ranking,tinysam M1 x P4 x S0,0.0502,0.0033,0.0945,13,17,True
A5.5,selector sobre el clasico,sato x P1 x S1,sato x P1 x S0,-0.0024,-0.0064,0.0001,1,17,False
A5.5,candidatas sobre el clasico,sato x P1 x una mascara,sato x P1 x S0,-0.1349,-0.1855,-0.0875,1,17,True
A5.5,selector sobre el clasico,sato x P2 x S1,sato x P2 x S0,-0.0015,-0.0046,0.0002,1,17,False
A5.5,candidatas sobre el clasico,sato x P2 x una mascara,sato x P2 x S0,-0.1096,-0.1571,-0.0658,1,17,True
